frame,time_ms,time_us,rpm,vss,gear,ptank,map,bp,bp_cmd,tpedal,tplate,afm_v,afm_hz,afm,afm_c,airc,egr,iat,iat2,ect,ect2,pa,oil_press,cvt_temp,inj,inj_bank_2,duty,difp,difpcmd,fuelp,ign,cam,camcmd,excam,excamcmd,wg,wgcmd,vts,svs,purge,accl,bc_duty,af,af_bank_2,af_corr,wide_v,wide,afcmd,afcmd_bank_2,s_trim,l_trim,s_trim_bank_2,l_trim_bank_2,trim,fuel_status,fuel_status_bank_2,ethanol,k_level,k_retard,k_retard_1,k_retard_2,k_retard_3,k_retard_4,k_control,ign_limit,k_count,k_count_1,k_count_2,k_count_3,k_count_4,k_count_5,k_count_6,bat,cat_t,abs_lf,abs_rf,abs_lr,abs_rr,clutch_pos,brake_press,steer_ang,steer_trq,g_lat,g_long,g_z,yaw,eco,fuel_used,tc_v,tc_ecuslip,tc_r,tc_lf,tc_rf,tc_lr,tc_rr,tc_slip,tc_turn,tc_overslip,tc_out
100000,789411,789411346,3038,75.8075,6,0,-22.2,14.21,-22,2,6,1.66,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.19,32,0.44,0,1,2159.61,2133.58,24,37,28,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271.3,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,789412,789412353,3038,75.8075,6,0,-22.2,14.21,-22,2,6,1.66,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.19,32,0.44,0,1,2159.61,2133.58,24,37,28,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271.3,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100002,789440,789440216,3038,75.8075,6,0,-22.2,14.21,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.19,32,0.48,0,1,2159.61,2133.58,19,17,28,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271.3,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100003,789460,789460266,3038,75.8075,6,0,-22.2,14.2,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.48,0,1,2159.61,2051.7,19,17,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,789461,789461364,3038,75.8075,6,0,-22.2,14.2,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.48,0,1,2159.61,2051.7,19,17,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100005,789462,789462341,3038,75.8075,6,0,-22.2,14.2,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.48,0,1,2159.61,2051.7,19,17,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100006,789463,789463348,3038,75.8075,6,0,-22.2,14.2,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.48,0,1,2159.61,2051.7,19,17,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.3791,76.3481,76.143,76.0374,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100007,789464,789464355,3038,75.8075,6,0,-22.2,14.2,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.48,0,1,2159.61,2051.7,19,17,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.03,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100008,789465,789465362,3038,75.8075,6,0,-22.2,14.2,-22,2,6,1.62,0,9.58,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.48,0,1,2159.61,2051.7,19,17,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100009,789498,789498413,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2159.61,2051.7,16,19,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-1,0,0,-1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1271,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100010,789520,789520172,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100011,789521,789521362,3038,75.8075,6,0,-22.7,14.2,-22,2,6,1.6,0,9.61,94,14,0,105.8,95,183.2,165.2,14.07,5.3,32,0.46,0,1,2063.89,1969.98,16,19,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.7,76.4102,76.317,76.0622,75.9504,0,0.47,1,0,0.01,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
