,frame,time_ms,time_us,rpm,vss,gear,ptank,map,bp,bp_cmd,tpedal,tplate,afm_v,afm_hz,afm,afm_c,airc,egr,iat,iat2,ect,ect2,pa,oil_press,cvt_temp,inj,inj_bank_2,duty,difp,difpcmd,fuelp,ign,cam,camcmd,excam,excamcmd,wg,wgcmd,vts,svs,purge,accl,bc_duty,af,af_bank_2,af_corr,wide_v,wide,afcmd,afcmd_bank_2,s_trim,l_trim,s_trim_bank_2,l_trim_bank_2,trim,fuel_status,fuel_status_bank_2,ethanol,k_level,k_retard,k_retard_1,k_retard_2,k_retard_3,k_retard_4,k_control,ign_limit,k_count,k_count_1,k_count_2,k_count_3,k_count_4,k_count_5,k_count_6,bat,cat_t,abs_lf,abs_rf,abs_lr,abs_rr,clutch_pos,brake_press,steer_ang,steer_trq,g_lat,g_long,g_z,yaw,eco,fuel_used,tc_v,tc_ecuslip,tc_r,tc_lf,tc_rf,tc_lr,tc_rr,tc_slip,tc_turn,tc_overslip,tc_out
0,0,0,0,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.45,32,0.55,0,0,744.04,761.23,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.3,32.6221,32.5972,32.5475,32.504,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20,20050,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.6221,32.5972,32.5475,32.504,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,20,20996,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.6221,32.5972,32.5475,32.504,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,22,22003,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.6221,32.5972,32.5475,32.504,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,23,23010,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.6221,32.5972,32.5475,32.504,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,24,24017,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,24,24993,1986,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,82,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,49,49987,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,744.04,761.74,18,9,27,27,-21,-21,8.22,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1059.2,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,82,82000,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.9,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,83,83007,1977,32.3114,4,0,-23.3,14.09,-23.0,0,4,1.33,0,5.49,83,12,0,111.2,95.0,181.4,167.0,14.21,4.5,32,0.55,0,0,748.39,762.61,18,9,27,27,-21,-21,8.21,8.0,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,-3,0,0,-3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1058.9,32.5413,32.5848,32.4916,32.4916,0,0.71,0,0,0.0,-0.075,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
